address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
6835 Evans Wynd,Edmonton,T6M 0T3,Edgemont (Edmonton),AB,3,3,2,1,"$374,777",3527.65,1442,2015,10/10/2021,"Gorgeous southwest facing home, with DOUBLE ATTACHED GARAGE, in Edgemont's newest community!  This 1442 sqft duplex features three bedrooms, 2.5 bathrooms, perfect for first-time homebuyers or investors.  The main level has an open floor plan with a modern kitchen, granite countertops, stainless steel appliances, central ventilation, gas fireplace in the living room. The dining area leads to the OVERSIZED DECK.  Upstairs offers three bedrooms with an ENSUITE  in the primary bedroom, UPPER FLOOR LAUNDRY ROOM, four pieces bathroom & an upstairs loft, perfect for a home office. The basement is partially finished and waiting for you to finish it to your desires. The Private backyard has no construction behind it completes this home. Edgemont is a growing community, with new projects coming up, like medical clinics, schools, playgrounds, restaurants, cafes, pathways throughout nearby Wedgwood Creek Ravine.  Just minutes away from the Anthony Henday, Whitemud Drive, Yellowhead Trail. Enjoy it, don' miss it out"
24 1418 Twp Rd 540,Rural Parkland County,T7Y 0B1,Patricia Hills,AB,5,3,2,1,"$475,000",-1.0,1931,1976,10/10/2021,"Welcome to 24 Patricia Hills, this beautiful acreage is located 15 minutes to Stony Plain on all paved roads. This 1931sqft 2-story has 5 bedrooms, 2.5 bathrooms & sits on 3.48 acres. The main floor has a large entry leading to the big bright front room. The dining room has enough room for a large country table. The kitchen was fully renovated 5 years ago with new cabinets, appliances & counter tops. Also on this floor is a second living room with a wood burning fireplace. There is a 2p bath as well as new vinyl plank flooring through out the main floor. The upper floor has 4 bedrooms/2 bathrooms, including the master bedroom with a walk in closet & a 3p ensuite. The carpet was replaced about 5 years ago. The basement is partially finished with the 5th bedroom, laundry & a large storage room in the crawl space. There is a double attached garage. Outside is fully treed backing onto a field with a large deck, 2 sheds and a dog run. Other upgrades include shingles & doors replaced around 5 years ago."
11046 131 Street,Edmonton,T5M 1B8,Westmount,AB,4,4,3,1,"$649,900",-1.0,1853,2015,10/10/2021,"Sleek & modern, but warm & inviting! Come see this stunning home located in sought after Westmount! This gorgeous home offers over 2600 sq ft of luxurious living space crowned with an enviable sun-filled rooftop patio to enjoy the Edmonton skyline. The main flr, which is covered in gleaming hardwood, opens into a sunken living rm w/ built-in wall unit & double-sided gas fireplace. The dining rm that enjoys the other side of the fireplace flows into a gourmet kitchen w/built-in stainless steel appls, island w/ seating space to spare, granite countertops & and large windows looking onto the west facing back yard & deck. Upstairs is home to master suite w/walk-in closet & opulent ensuite bath w/heated floor, 2 more sizeable bdrms, full bath & convenient laundry. The bsmt is fully finished to incl 4th bdrm, bath & family rm. Like brand new, but with all the extras done - landscaped, fenced & ready for you! Close to excellent schools, minutes to Downtown & near the multitude of YEG's River Valley trails!"
 Address Withheld,Edmonton,T6L 1T8,Hillview,AB,4,3,1,2,"$249,900",4198.14,1201,1978,10/10/2021,"Located in Hillview, one of Millwoods most desirable communities, this 4 bedroom 1200 sq.ft. 2 storey half duplex needs a bit of TLC however the price is right. It sits just steps from an LRT terminal on the new Millwoods line. This is the perfect home for a family working with a budget or an investor looking for a great revenue property. With minimal work this home could be totally transformed to meet your vision. The best part is many of the \u0022big ticket\u0022 items have already been taken care of, including all new VINYL WINDOWS, HIGH EFFICIENCY FURNACE & HOT WATER TANK. The back yard is very large with a great vegetable garden and massive storage shed (complete with permits). There is also a huge rear parking pad that could easily fit 3 cars. Don't miss out on this opportunity."
3122 50 Street,Smoky Lake Town,T0A 3C0,Smoky Lake Town,AB,3,2,2,-1,"$239,000",55757.0,1335,1970,10/10/2021,"Enjoy the best of both worlds with this acreage within the town of Smoky Lake. Large and bright home with double detached garage nicely located within a 1.27 acre lot and surrounded by farmland and other acreages. This meticulously maintained property features a large open concept including a sunlit and well-appointed, south facing kitchen with direct access to a comfortable west side covered deck, and a modern living room, equipped with a woodstove, and affording superb views to the front yard and surrounding fields. This well-decorated home also boasts 3 good-size bedrooms on the main floor, a walk-in pantry and a mudroom / laundry room with access to the backyard. In the basement you will enjoy another full bathroom and plenty of room for storage. The tremendously landscaped yard offers tons of space to play, garden, or simply relax with friends and family. This acreage is also located steps from the famous Iron Horse Trail and a 2-minute drive to shops and services."
10339 83 Street,Edmonton,T6A 3N9,Forest Heights (Edmonton),AB,4,2,2,-1,"$419,000",5429.31,1090,1952,10/10/2021,"Welcome to bungalow style home in Forest Heights! Main floor offers 2 bedrooms, 5-pc bathroom, living room with large window and view of mature trees in front yard, kitchen with island and specious dining room. Other features include central AIR CONDITIONING, side entrance for access to yard, sunroom and double detached garage. Fully finished basement features a SECOND KITCHEN/SS appliances, dining room, 2 bedrooms, 3-pc bathroom, family room and large laundry/storage room. Located in a quite street, close to schools, shops, parks & many other amenities and short drive to downtown. A must see property!"
2622 Watcher Way,Edmonton,T6W 0X7,Windermere,AB,3,4,3,1,"$789,900",6236.5,2702,2013,10/10/2021,"Welcome home to this Dolce Vita built beauty finished on 3 levels. Located in Upper Windermere w access to an amazing pool, extra wide corner lot & backing onto a walkway, this home has it all. The main floor greets you with 9' ceilings, office, huge mud room and walk though pantry. The dream kitchen boasts two tone cabinetry w soft close, 2 sinks, bar fridge and massive island perfect for entertaining. Upstairs has 2 large bedrooms with walk-in closets, laundry room and fantastic owner's suite with fireplace, spa like ensuite, soaker tub, glass shower, double sinks & huge walk-in closet. The 9' basement is every entertainer's dream with a wet-bar including 4 bar fridges and games area. There is a gym, 3-piece bath and a movie room which comes with projector and screen included. The sizeable yard is beautifully landscaped & comes with vinyl deck & gazebo. Notable extras include built-in speakers, 4' extra garage width & length, 8' garage door, aggregate driveway, Phillips Hue colour changing lightbulbs."
3366 Hilton Crescent,Edmonton,T6M 0N5,The Hamptons,AB,5,4,4,-1,"$575,000",4482.09,2368,2015,10/10/2021,"5 bedroom, 4 full bathrooms. 3 bedroom up, 1 on main floor and 1 in the basement. Absolutely gorgeous home custom built by \u0022Dolce Vita\u0022 with many extras. Beautiful hardwood floors on main floor and through the upper floor! Superb kitchen with granite countertops, large island, \u0022to the ceiling\u0022 upper cabinets with crown moldings, tile backsplash and spacious pantry! Nook/dining area, large living room enhanced with electric fireplace, bedroom/den and 3 pcs bath complete the main floor. Master bedroom offers large walk-in closet, spa-like ensuite with double vanity, soaker tub and separate shower. Massive bonus room. The basement is fully finished with rec room, full bath and a spare bedroom. Almost no carpet - only on the staircase. Hunter Douglas blinds, water softener, nice deck, fully fenced yard - nothing to do. Just move in and enjoy! Close to schools, shopping, Anthony Henday etc, yet quiet crescent location!"
 Address Withheld,Edmonton,T6W 1A9,Blackburne,AB,3,3,3,-1,"$589,000",6115.83,2311,1992,10/10/2021,"WELLCOMING TWO STOREY HOUSE IN THE PRESTIGIOUS COMMUNITY OF BLACKBURNE. SPACIOUS THREE BEEDROOMS AND LAUNDRY ON SECOND FLOOR.MAIN FLOOR LIVING ROOM AND DEN OPEN ABOVE, SPACIOUS KITCHEN  CONNECTING TO FAMIALY ROOM,MAIN FLOOR HAS 3PC BATH AND OFFICE/BEDROOM.DOUBLE OVERSIZED FRONT DRIVE GARAGE."
27 Vista Street,Spruce Grove,T7X 4P6,Spruce Village,AB,3,3,2,1,"$289,900",2938.54,1268,2007,10/10/2021,"Located in the family friendly community of Spruce Village, this 3 bed 2.5 bath detached home is PERFECT for the first time home buyer or investor. This turn-key home features convenient main floor laundry w/ a newer top load washer, newer hot water tank, laminate flooring, an open concept kitchen & dining with newer dishwasher, moveable island and 3 bedrooms upstairs with a spacious primary bedroom with its own 3 piece ensuite and walk-in closet. Outside you have a cozy front porch to sip your morning coffee, generous deck off of the kitchen, storage shed and plenty of parking with back alley access, gravel parking pad and room for a future double garage. Location is key as your steps away from MAJOR amenities, parks, shopping and commuter roads for a quick drive into West Edmonton. This family approved home is ready for a new family to call it their own and MUST be seen to be appreciated."
612 Windross Crescent,Edmonton,T6T 1Y1,Wild Rose,AB,3,4,3,1,"$448,900",4023.98,1511,2004,10/10/2021,"Welcome to 612 Windross Cr located in the beautiful family community of Wild Rose in southeast Edmonton!  Picture your family settling into this very comfortable & spacious 2-Storey,  3 bedroom, 4 bath home that comes complete with a generous fully finished basement & double attached garage.  Over 2100+ sqft in actual living space!  The modern open concept Kitchen is the perfect size for entertaining friends, and your everyday family demands with updated appliances and plenty of storage.  Take in the beautiful deck & large yard that boasts plenty of space to extend your entertaining or simply enjoy the quietness & the beauty of your fruit trees & vegetable gardens.  Recent updates include a new Hot Water tank, and Culligan Water Softener/Purifier introduced in the past year.  This family friendly neighborhood is close to schools, playgrounds, shopping and the brand new state of the art - Meadows Recreation Center.  Close to the Anthony Henday for easy commutes to absolutely anywhere.  Welcome home:)"
1076 Barnes Way,Edmonton,T6W 1E5,Blackmud Creek,AB,3,3,2,1,"$565,000",5960.19,1618,2000,10/10/2021,"Walk out basement with great view of nature & dry pond! This 1617 sq ft bungalow offers vaulted ceilings and open concept. There is abundance of cabinet & counter space with island in your bright white kitchen which overlooks your living/dining areas & 3 sided gas f/place. From the dining area a garden door leads you to the upper deck overlooking the dry pond and zero maintenance yard. The primary suite has a 5 pce ensuite complete with massive walk in closet. The den located at the front of home could easily be used as a 2nd bdrm with addition of wardrobe or closet. Main floor laundry. The F/F basement with infloor heating is flooded with natural light and has a huge family/recreation area with a wet bar & a 2nd gas f/p. 2 more bdrms and 5 pc bath completes the bsmt. Located in desired Blackmud Creek this original owner home is ready for you.  Easy access to the Anthony Henday, public transportation, great schools and plenty of amenities. A wonderful place to call home!"
5904 8 Avenue,Edmonton,T6K 0G4,Charlesworth,AB,4,3,3,-1,"$435,000",-1.0,1326,2008,10/9/2021,"Here is the perfect opportunity to get into this spacious, bright and cheerful 2 + 2 Bedroom Bi-Level home complete with a Fully Finished basement. The main floor has a nice open concept plan with vaulted ceilings, big windows, large living & formal dining space, bedroom and full bath. The kitchen is functional with a raised island, pantry, ss appliances and perfect for entertaining. Upper-level showcases the primary bedroom with 4piece ensuite and walk-in closet. The basement has 2 big bedrooms, a 3-piece bathroom & living room with gas fireplace. This property is fully fenced and landscaped with a deck & comes with 6 appliances & Hunter Douglas blinds. Close to all types of amenities & situated in the family friendly community of Charlesworth."
